name_ca,cid,themes,poetic_syllables
rutina,5280805,aliments,2
S-Adenosil metionina,34755,metabolits,10
sacarina,5143,aliments,3
sacarosa,5988,aliments,3
sal de Zeise,71311337,organiques,3
Salicilat d'isoamil,6874,aliments|organiques,8
sarcosina,1088,metabolits,3
SeHCAT,123829,farmacs,2
selenocisteïna,25076,metabolits,6
selenometionina,15103,metabolits,7
semaglutida,56843331,metabolits,4
serina,5951,metabolits,2
serotonina,5202,metabolits,4
sevelamer,3085017,farmacs,4
simbescalina,44374890,organiques|verins,4
Simeprevir,24873435,organiques,4
solanidina,65727,organiques|verins,4
Solanina,9549171,organiques|verins,3
sorbat de potassi,23676745,aliments,5
sorbitol,5780,aliments,3
Sucralosa,71485,aliments,3
sucre invertit,21924868,aliments,5
sugammadex,6918584,farmacs,4
sulfat de magnesi,24083,farmacs,5
sulfat de sodi,24436,aliments,4
sulfit de calci,10154041,aliments,4
sulfit de sodi,24437,aliments,4
tagatosa,92092,aliments,3
tamsulosina,129211,organiques|verins,4
tangeritina,68077,aliments|organiques,4
Tartrat de potassi,3455756,aliments,5
Tartrat de potassi i sodi,165453,aliments,8
Tartrat de sodi,13355,aliments,4
Teanina,439378,metabolits,3
tebaïna,5324289,verins,3
teixobactina,86341926,farmacs,4
teobromina,5429,verins,4
teofil·lina,2153,verins,4
testosterona,6013,metabolits|organiques,4
Tetracianometà,141101,organiques,7
tetraciclina,54675776,farmacs,4
tetradotoxina,6324668,organiques,5
tetrahidrocannabinol,16078,farmacs,8
tetrametilsilà,6396,organiques,6
Thiram,5455,organiques,2
tiourea,2723790,organiques,4
tiramina,5610,aliments|verins,3
tirosina,6057,metabolits,3
tiroxina,853,metabolits,3
tirzepatida,156588324,metabolits,4
tocoferol,14986,organiques,4
transflutrina,656612,organiques,3
Trazodona,5533,organiques,3
trehalosa,7427,aliments,3
treonina,6288,metabolits,3
triamcinolona,31307,organiques,5
tricina,79784,metabolits|organiques,2
triclocarban,7547,farmacs|organiques,4
Triclopir,41428,organiques,3
triclosan,5564,farmacs,3
triiodotironina,5920,metabolits,6
Trimetilglicina,247,metabolits,5
trimetoprim,5578,farmacs,4
trimetoprim/sulfametoxazole,358641,farmacs,10
trinitrotoluè,8376,organiques,6
triptòfan,6305,metabolits,2
Trolox,40634,aliments|organiques,2
urea,1176,organiques,2
vacquinol-1,224644,organiques,4
valina,6287,metabolits,2
vancomicina,14969,farmacs,4
vanil·lina,1183,aliments|organiques,3
Veratrina,6280,organiques|verins,3
verruculogen,104862,verins,4
vincristina,5978,organiques|verins,3
violaxantina,448438,aliments,5
violeta de genciana,11057,farmacs,8
vitamina C,54670067,aliments|farmacs,5
Vomitoxina,40024,organiques|verins,4
warfarina,54678486,organiques,3
Xantina,1188,verins,2
Xantona,7020,organiques,2
xenó,23991,farmacs,2
Xilitol,6912,aliments,3
Zearalenona,5281576,metabolits,5
