year,stage_no,date,start,finish,distance_km,type
2005,21,2005-07-24,Corbeil-Essonnes,Paris,144.5,Plain stage
2006,P,2006-07-01,Strasbourg,Strasbourg,7.1,Individual time trial
2006,1,2006-07-02,Strasbourg,Strasbourg,184.5,Flat stage
2006,2,2006-07-03,Obernai,Esch-sur-Alzette (Luxembourg),228.5,Flat stage
2006,3,2006-07-04,Esch-sur-Alzette (Luxembourg),Valkenburg (Netherlands),216.5,Hilly stage
2006,4,2006-07-05,Huy (Belgium),Saint-Quentin,207.0,Flat stage
2006,5,2006-07-06,Beauvais,Caen,225.0,Flat stage
2006,6,2006-07-07,Lisieux,Vitré,189.0,Flat stage
2006,7,2006-07-08,Saint Grégoire,Rennes,52.0,Individual time trial
2006,8,2006-07-09,Saint-Méen-le-Grand,Lorient,181.0,Flat stage
2006,9,2006-07-11,Bordeaux,Dax,169.5,Flat stage
2006,10,2006-07-12,Cambo-les-Bains,Pau,190.5,Mountain stage
2006,11,2006-07-13,Tarbes,Val d'Aran/Pla-de-Beret (Spain),206.5,Mountain stage
2006,12,2006-07-14,Luchon,Carcassonne,211.5,Hilly stage
2006,13,2006-07-15,Béziers,Montélimar,230.0,Flat stage
2006,14,2006-07-16,Montélimar,Gap,180.5,Hilly stage
2006,15,2006-07-18,Gap,Alpe d'Huez,187.0,Mountain stage
2006,16,2006-07-19,Le Bourg-d'Oisans,La Toussuire,182.0,Mountain stage
2006,17,2006-07-20,Saint-Jean-de-Maurienne,Morzine,200.5,Mountain stage
2006,18,2006-07-21,Morzine,Mâcon,197.0,Flat stage
2006,19,2006-07-22,Le Creusot,Montceau-les-Mines,57.0,Individual time trial
2006,20,2006-07-23,Antony/Parc de Sceaux,Paris,154.5,Flat stage
2007,P,2007-07-07,London (United Kingdom),London (United Kingdom),7.9,Individual time trial
2007,1,2007-07-08,London (United Kingdom),Canterbury (United Kingdom),203.0,Plain stage
2007,2,2007-07-09,Dunkirk,Ghent (Belgium),168.5,Plain stage
2007,3,2007-07-10,Waregem (Belgium),Compiègne,236.5,Plain stage
2007,4,2007-07-11,Villers-Cotterêts,Joigny,193.0,Plain stage
2007,5,2007-07-12,Chablis,Autun,182.5,Intermediate stage
2007,6,2007-07-13,Semur-en-Auxois,Bourg-en-Bresse,199.5,Plain stage
2007,7,2007-07-14,Bourg-en-Bresse,Le Grand-Bornand,197.5,Mountain stage
2007,8,2007-07-15,Le Grand-Bornand,Tignes,165.0,Mountain stage
2007,9,2007-07-17,Val-d'Isère,Briançon,159.5,Mountain stage
2007,10,2007-07-18,Tallard,Marseille,229.5,Plain stage
2007,11,2007-07-19,Marseille,Montpellier,182.5,Plain stage
2007,12,2007-07-20,Montpellier,Castres,178.5,Intermediate stage
2007,13,2007-07-21,Albi,Albi,54.0,Individual time trial
2007,14,2007-07-22,Mazamet,Plateau-de-Beille,197.0,Mountain stage
